ID;Bibl. Eintrag;Schranknummer - Praun'scher Katalog;Rang - Praun'scher Katalog;Titelreihenfolge - Praun'scher Katalog;Systemtische Zuordnung - Praun'scher Katalog;Imagez‰hlung Digitalisat - Praun'scher Katalog;Katalogseitenz‰hlung- Praun'scher Katalog;Katalogeintrag Praun'scher Katalog;Erg‰nzungen zum Katalogeintrag - Praun'scher Katalog;PPN-Nummer Manifestationsebene;Anmerkungen - Praun'scher Katalog und edit.;Bandz‰hlung - katalog¸bergreifend;PPN-Nummer Exemplarebene - Ex. 1;HAB  Exemplare;Sammlungszugehˆriges Exemplar mit Provenienzen;Aufstellungssystematik Mittlere Aufstellung;Signatur- und Provenienzpr¸fung;Ergebnis Magazin- und Provenienzpr¸fung;Alle im OPAC nachgewiesen Provenienzen HAB;Provenienz Zuordnung namentlich;Bibliographische Gattung und Status;Sprachcode;OPAC Haupttitel;Erscheinungsjahr;Erscheinungsort OPAC - 4030 -;Erscheinungsort normiert GND;Erscheinungsort GND-Nummer;Erscheinungsort normiert TGN;TGN-Nummer;1. Verfasser Vorname -3000;1. Verfasser Nachname - 3000;1. Verfasser normiert;Wikidata-ID;sex or gender;1. Verfasser GND-Nummer;Geschlecht;1. Weiterer Verfasser Vorname -3001;1. Weiterer Verfasser Nachname - 3001;1. Weiterer Verfasser GND - 3001 2;Geschlecht2;2. Weiterer Verfasser Vorname - 3002;2. Weiterer Verfasser Nachname - 3002;2. Weitere Verfasser GND - 3002 2;Geschlecht3;1. Weitere Person Vorname -3010;1. Weitere Person Nachname -3010;1. Weitere Person GND - 3010 2;Geschlecht4;2. Weitere Person Vorname - 3010;2. Weitere Person Nachname -3010;Geschlecht5;2. Weitere Person GND - 3010 2;1. Sonstige Person Vorname - 3050;1. Sonstige Person Nachname - 3050;1. Sonstige Person GND - 3050 2;2. Sonstige Person Vorname - 3050;2. Sonstige Person Nachname - 3050;2. Sonstige Person GND - 3050 2;3. Sonstige Person Vorname - 3050;3. Sonstige Person Nachname - 3050;4. Sonstige Person Nachname - 3050;3. Sonstige Person GND - 3050 2
986;975;VIII;(c) 3. rang, in Quarto.;69;;133;105;Tr. philosophique des Loix naturelles, par le Dr R. Cumberland, trad. du latin par M. Barbeyrac. Amst. 1744.;;14763119X;;1;14763119X;M: Rp 31;M: Rp 31;Recht - Naturrecht;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-L¸neburg, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;TraitÈ philosophique des lois naturelles ...;1744;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Richard;Cumberland;Richard Cumberland;Q2706259;male;121534006;Unbekannt;;;;;;;;;Jean;Barbeyrac;118652443;M‰nnlich;;;;;;;;;;;;;;
987;976;VIII;(c) 3. rang, in Quarto.;70;;133;105;Dictionaire pratique du bon menager de campagne et de ville, par le Sr L. Lieger. Par. 1722.;;217044182;;1;217044263;M: Oe 4∞ 34;M: Oe 4∞ 34 (1);Naturwissenschaften - Land-, Haus- und Forstwirtschaft;Provenienzen bereits im OPAC nachgewiesen;;T. 1-2 in 1 Bd;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Einband / Monogramm;Acr;fre;Dictionaire pratique du bon menager de campagne et de ville, qui apprend generalement la maniere de nourrir, Èlever et gouverner, ... toutes sortes de Bestiaux, Chevaux et Volailles ...;1722;Paris;Paris;4044660-8;Paris;tgn/7008038;Louis;Liger;Louis Liger;Q3262542;male;124564763;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
988;977;VIII;(c) 3. rang, in Quarto.;71-73;;133;105;Les caracteres des passions par le Sr De la Chambre. Par. 1748. T. I. II. III.;;1040788769;;3;1040788769;M: Lm 4∞ 44:1;M: Lm 4∞ 44:1;Literatur - Franzˆsische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acus;fre;Les Characteres Des Passions;1648;Paris;Paris;4044660-8;Paris;tgn/7008038;Marin;Cureau de La Chambre;Marin Cureau de la Chambre;Q730427;male;104245999;M‰nnlich;;;;;;;;;...;Seguier;;;;;;;;;;;;;;;;
989;978;VIII;(c) 3. rang, in Quarto.;74;;133;105;Tarif general des droits de Sortes et entrÈes du Roiaume, 1664. Par. 1681.;;235513563;;1;235513563;M: Rf 47;M: Rf 47;Recht - Franzˆsisches Recht;Provenienzen bereits im OPAC nachgewiesen;;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Tarif General Des Droits De Sorties Et EntrÈes Du Royaume, & des Provinces esquelles les Bureaux ne sont establis, Ordonnez estre sur toutes les Marchandises & DenrÈes;1681;Paris;Paris;4044660-8;Paris;tgn/7008038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
990;979;VIII;(c) 3. rang, in Quarto.;75;;133;105;Entretiens sur les vies et les ouvrages des plus excellens Peintres anciens et modernes. Par. 1666.;;150738331;;1;15073834X;M: Ug 4∞  23;M: Ug 4∞ 23;Kunst - Plastik und Malerei;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-L¸neburg, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acus;fre;Entretiens Svr Les Vies Et Svr Les Ovvrages Des Plvs Excellens Peintres Anciens Et Modernes;1666;Paris;Paris;4044660-8;Paris;tgn/7008038;AndrÈ;FÈlibien;AndrÈ FÈlibien;Q518705;male;119281384;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
991;980;VIII;(c) 3. rang, in Quarto.;76;;134;106;Discours politiques et militaires sur C. Facite, Rouen 1633.;;150882912;;1;150882912;M: Lh 2272;M: Lh 2272;Literatur - Rˆmische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-L¸neburg, Blatt A1 mit Einriﬂ am Kopfsteg, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Provenienz: Harlangies, Michael / Datum 1643;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aaus;fre;Discovrs Politiqves Et Militaires Svr Corneille Tacite, Excellent Historien, & grand homme d'Estat;1633;A Roven;Rouen;4050751-8;Rouen;tgn/7008929;Scipione;Ammirato;Scipione Ammirato;Q600041;male;123353483;Unbekannt;;;;;;;;;Laurens;Melliet;1157489559;Unbekannt;Jacques;CaillouÈ;M‰nnlich;1037538404;Cornelius;Tacitus;118620452;;;;;;;
992;981;VIII;(c) 3. rang, in Quarto.;77;;134;106;Aegidii Menagii Miscellanea. Par. 1652.;;150289308;;1;150289308;M: Lm 2478;M: Lm 2478;Literatur - Franzˆsische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;lat;Miscellanea;1652;Parisiis;Paris;4044660-8;Paris;tgn/7008038;Gilles;MÈnage;Gilles MÈnage;Q648856;male;118783165;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
993;982;VIII;(c) 3. rang, in Octav.;78;;134;106;La figure de la terre determinÈe par les observations faites par ordre du Roi au Cercle Polaire, par M. de Maupertuis. Par. 1738.;in Octav.;18748354X;;1;18748354X;M: Nf 99, M: Ca 213;M: Nf 99;Naturwissenschaften - Geologie und Mineralogie;Provenienzen bereits im OPAC nachgewiesen;;Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-L¸neburg, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Einband / Monogramm, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Philippine Charlotte <Braunschweig-L¸neburg, Herzogin>;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Einband / Monogramm;Aaus;fre;La Figure De La Terre, DÈterminÈe Par Les Observations De Messieurs De Maupertuis, Clairaut, Camus, Le Monnier, de l'AcadÈmie Royale des Sciences, & de M. l'AbbÈ Outhier, Correspondant de la mËme AcadÈmie, AccompagnÈs de M. Celsius, Professeur d'Astronomie ‡ Upsal;1738;Paris;Paris;4044660-8;Paris;tgn/7008038;Pierre Louis Moreau;Maupertuis;Pierre Louis Moreau de Maupertuis;Q164374;male;118731998;M‰nnlich;;;;;;;;;;;;;;;;;Alexis Claude;Clairaut;;Charles-Etienne-Louis;Camus;117672025;;;;
994;983;VIII;(c) 3. rang, in Octav.;79;;134;106;Hist. moderne, ou etat present de tous les peuples du monde, trad. de l'Anglois de M. Salmon, Amst. 1730. T. I. P. I. La Chine.;;151318603;;1;151318611;M: Gv 203, Schulenb. Gp 12;;Geschichte - Asien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Histoire moderne ou L'Ètat prÈsent de tous les peuples du monde ...;1730;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Thomas;Salmon;Thomas Salmon;Q15994727;male;124582540;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
995;984;VIII;(c) 3. rang, in Octav.;80;;134;106;Vie de Mr l'AbbÈ de Choisy de l'Academie FranÁoise. Laus. 1742.;;225279649;;1;225279649;M: Db 863;M: Db 863;Biographien - Briefsammlungen, Gelegenheitsschriften;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros Dumas [de Montbail oder de Montmartin?], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aaus;fre;La Vie De Monsieur L'AbbÈ De Choisy De L'AcadÈmie FranÁoise;1742;Lausanne;Lausanne;4034750-3;Lausanne;tgn/7007299;Pierre Joseph;Olivet;Pierre-Joseph Thoulier d'Olivet;Q2428893;male;117122033;M‰nnlich;;;;;;;;;;;;;;;;;FranÁois-TimolÈon;Choisy;118675966;;;;;;;
996;985;VIII;(c) 3. rang, in Octav.;81;;134;106;Toutes les oeuvres charitables de Ph. Guybert Dr regent en la facultÈ de Medecine. Par. 1671.;;150764685;;1;150764685;M: Ma 319;M: Ma 319;Medizin - Allgemeines, Geschichte;Provenienzen bereits im OPAC nachgewiesen;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Einband / Monogramm;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Einband / Monogramm;Aar;fre;Toutes Oeuvres charitables;1670;Paris;Paris;4044660-8;Paris;tgn/7008038;Philibert;Guybert;Philbert Guybert;Q109833533;male;100349951;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
997;986;VIII;(c) 3. rang, in Octav.;82;;134;106;Diss. sur la perfection du monde corporel et intelligent, par W. G. Muyz. Leide 1745.;;134919149;;1;134919149;M: Lp 105;M: Lp 105;Literatur - Holl‰ndische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-L¸neburg, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aaus;fre;Dissertation Sur La Perfection Du Monde Corporel Et Intelligent;1745;Leide;Leiden;4074118-7;Leiden;tgn/7006809;Wijer Willem;Muys;Muys, Wijer Willem;;male;1055123156;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
998;987;VIII;(c) 3. rang, in Octav.;83;;134;106;Projet d'une Dixme roiale, qui supprimant la taille les aides les douanes produiroit un revenu certain et suffisant par M. le Mal de Vauban. 1707.;;136958117;;1;136958117;M: Rf 136, M: Gk 2030, Schulenb. S 48;;Recht - Franzˆsisches Recht;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;Projet D'Une Dixme Royale;1707;[S.l.];ohne Ort;;;;SÈbastien Le Prestre;Vauban;SÈbastien Le Prestre de Vauban;Q192839;male;118626264;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
999;988;VIII;(c) 3. rang, in Octav.;84;;134;107;AbregÈ des vies des anciens philosophes, avec un recueil de leurs plus belles maximes, par M. D. F. Par. 1726.;;Dublette ;[vorh. VIII c 97 b)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000;989;VIII;(c) 3. rang, in Octav.;85;;135;107;Lettres philos. sur la formation des Sels et des Christaux, sur la generation et le mechanise organique des plantes et des animaux, par M. Bourguey. Amst. 1729.;;151552851;;1;151552851;M: Nc 234;;Naturwissenschaften - Physik;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aau;fre;Lettres philosophiques sur la formation des sels et des crystaux et sur la gÈnÈration & le mechanisme organique des plantes et des animaux ...;1729;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Louis;Bourguet;Louis Bourguet;Q975237;male;116298553;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
1001;990;VIII;(c) 3. rang, in Octav.;86;;135;107;Hist. de la derniere peste de Marseille. Par. 1732.;;15111885X;;1;151118868;M: Mi 142;M: Mi 142;Medizin - Innere Medizin;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Histoire de la derniÈre peste de Marseille, Aix, Arles et Toulon;1732;Paris;Paris;4044660-8;Paris;tgn/7008038;Arnoul;Martin;Martin, Arnoul;;male;120770318;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
1002;991;VIII;(c) 3. rang, in Octav.;87;;135;107;Remarques nouv. sur la langue franÁoise, par de P. Bouhours, Par. 1693.;;150447329;;1;150447329;M: Kl 47;;Sprachwissenschaft - Franzˆsische Grammatik;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;Remarques Nouvelles Sur La Langue FranÁoise;1693;Paris;Paris;4044660-8;Paris;tgn/7008038;Dominique;Bouhours;Dominique Bouhours;Q1238179;male;118659472;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
1003;992;VIII;(c) 3. rang, in Octav.;88;;135;107;Voiage du monde de Descartes, 1691.;;150079915;;1;150079923;M: Li 1794 (1);M: Li 1794 (1);Literatur - Neulateinische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Voiage du monde de Descartes;1691;Paris;Paris;4044660-8;Paris;tgn/7008038;Gabriel;Daniel;Gabriel Daniel;Q3093719;male;123800749;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
1004;993;VIII;(c) 3. rang, in Octav.;89-90;;135;107;CuriositÈs de la nature et de l'art sur la vegetation o˘ l'agriculture et le jardinage dans leur perfection, par l'AbbÈ de Vallemont, Brux. 1715. T. I. II.;;236688170;;2;236688456;M: Oe 655:1;;Naturwissenschaften - Land-, Haus- und Forstwirtschaft;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Curiositez de la nature et de l'art sur la vegetation, ou l'agriculture, et le jardinage dans leur perfection;1715;Bruxelles;Br¸ssel;4008460-7;Bruxelles;tgn/7007868;Pierre;Le Lorrain de Vallemont;AbbÈ de Vallemont;Q2820886;male;115711759;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
1005;994;VIII;(c) 3. rang, in Octav.;91;;135;107;Le gouvernement admirable ou la Rep. des Abeilles avec le moien d'en tire uni grandeutillitÈ. Haie 1740.;;150983867;;1;150983867;M: Nh 124;M: Nh 124;Naturwissenschaften - Zoologie;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros Dumas [de Montbail oder de Montmartin?], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aaus;fre;Le Gouvernement Admirable, Ou La Republique Des Abeilles;1740;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Jean-Baptiste;Simon;Simon, Jean-Baptiste;;male;1157860915;Unbekannt;;;;;;;;;...;Gros De Boze;;;;;;;;;;;;;;;;
1006;995;VIII;(c) 3. rang, in Octav.;92;;135;107;Vie de P. Mignard pr Peintre du Roi, par l'AbbÈ de Monville, Amst. 1731.;;244379696;;1;244379696;M: Db 3085;;Biographien - Briefsammlungen, Gelegenheitsschriften;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;La vie de Pierre Mignard premier peintre du roy;1731;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Simon Philippe;MaziÈre de Monville;MaziËre de Monville, Simon Philippe;;male;1055116443;M‰nnlich;;;;;;;;;;;;;;;;;Pierre;Mignard;;;;;;;;
1007;996;VIII;(c) 3. rang, in Octav.;93;;135;107;L'esprit de Guy Patin, tirÈ de ses conversations. Amst. 1710.;;151919046;;1;151919046;M: Lm 2791;;Literatur - Franzˆsische Literatur;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;L'Esprit De Guy Patin;1710;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Guy;Patin;Guy Patin;Q973855;male;11768998X;M‰nnlich;;;;;;;;;Laurent;Bordelon;100048552;M‰nnlich;Antoine;Lancelot;M‰nnlich;172216389;;;;;;;;;;
1008;997;VIII;(c) 3. rang, in Octav.;94;;135;107;Du pouvoir des Souverains et de la libertÈ de conscience, en 2. disc. de Mr Noodt, trad. du latin par J. Barbeirac. Amst. 1707.;;134858425;;1;134858425;M: Sf 748, M: Rp 148 (2), Schulenb. S 45;M: Sf 748;Staatswissenschaften - Staatslehre und Politik;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-L¸neburg, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;"Du pouvoir des souverains; et de la libertÈ de conscience. En deux discours";1707;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Gerard;Noodt;Gerhard Noodt;Q707221;male;118869361;M‰nnlich;;;;;;;;;Jean;Barbeyrac;118652443;M‰nnlich;;;;;;;;;;;;;;
1009;998;VIII;(c) 3. rang, in Octav.;95-96;;136;108;Secrets, concernant les arts et les metiers. Berl. 1717. T. I. II.;;216957249;;2;216957346;M: Oc 114:1;M: Oc 114:1;Naturwissenschaften - Gewerbe;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Secrets concernant les arts et metiers;1717;Berlin;Berlin;4005728-8;Berlin;tgn/7003712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1010;999;VIII;(c) 3. rang, in Octav.;97;;136;108;Relat. du SuceÈs de l'inoculation de la petite verole dans la Gr. Bretagne. par M. Jurin, trad. de l'Anglois, par M. Noguez. Par. 1725.;;150880545;;1;150880545;M: Mi 198;M: Mi 198;Medizin - Innere Medizin;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Relation du succÈs de l'inoculation de la petite vÈrole dans la Grande Bretagne;1725;Paris;Paris;4044660-8;Paris;tgn/7008038;James;Jurin;James Jurin;Q1959556;male;119507978;M‰nnlich;;;;;;;;;Pierre;Noguez;1055510788;Unbekannt;;;;;;;;;;;;;;
1011;1000;VIII;(c) 3. rang, in Octav.;97 b);;136;108;AbregÈ des vies des anciens Philosophes, Par. 1726.;;151355002;erg‰nzt;1;151355002;M: Da 135;M: Da 135;Biographien - Biographien, alphabetisch;Exemplar vorhanden;Provenienz Sophie Dorothea: Supralibros Wappen, Z‰hlung schwarz: 12, brauner Einband, Signatur Praun'scher Katalog;;Provenienz: Sophie Dorothea <Preuﬂen, Kˆnigin>;Aar;fre;AbregÈ des vies des anciens philosophes, avec une recueil de leurs plus belles Maximes;1726;Paris;Paris;4044660-8;Paris;tgn/7008038;FranÁois de Salignac de La Mothe;FÈnelon;FranÁois FÈnelon;Q310002;male;118532464;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
1012;1001;VIII;(c) 3. rang, in Octav.;97 c) ;;136;108;Dialogues V. faits ‡ l'imiation des anciens, p. Oratio Tubens. Mons 1671.;;150247869;erg‰nzt;1;150247869;M: Lm 2037;;Literatur - Franzˆsische Literatur;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;Cincq Dialogues faits ‡ l'imitation des anciens;1671;Mons [i.e. Amsterdam];Amsterdam;4001783-7;Amsterdam;tgn/7006952;FranÁois;La Mothe Le Vayer;FranÁois de La Mothe Le Vayer;Q1451251;male;119033607;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
1013;1002;VIII;(c) 3. rang, in Octav.;97 d) ;;136;108;Le Bombix ou le ver ‡ Soye, poeme, p. le C. de Francheville. ‡ Berlin 1754.;;151077010;erg‰nzt;1;151077010;M: Lm 1187;M: Lm 1187;Literatur - Franzˆsische Literatur;Exemplar vorhanden;Provenienz Sophie Dorothea: Z‰hlung schwarz 116, Signatur Praun'scher Katalog;;Provenienz: Sophie Dorothea <Preuﬂen, Kˆnigin>;Aaus;fre;Le Bombyx Ou Le Ver A Soie;1754;Berlin;Berlin;4005728-8;Berlin;tgn/7003712;Joseph;Du Fresne de Francheville;Joseph Du Fresne de Francheville;Q3184871;male;10428496X;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
1014;1003;VIII;(d) 4. rang, in octav.;98;;136;108;Tr. de l'Ortografe franÁois en forme de dictionaire. ‡ Poitiers. 1739.;;150254121;;1;150254121;M: Kl 183;M: Kl 183;Sprachwissenschaft - Franzˆsische Grammatik;Provenienzen bereits im OPAC nachgewiesen;;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;TraitÈ de l'orthographe franÁoise en forme de dictionnaire;1739;Poitiers;Poitiers;4046470-2;Poitiers;tgn/7017418;Charles;Le Roy;Charles Le Roy;Q110134064;male;123555264;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
1015;1004;VIII;(d) 4. rang, in octav.;99;;136;108;PensÈes sur la declamation, par L. Riccoboni. Par. 1738.;;229259499;;1;229259499;M: QuN 304a (1);M: QuN 304a (1);Quodlibetica Nova;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;PensÈes sur la declamation;1738;Paris;Paris;4044660-8;Paris;tgn/7008038;Luigi;Riccoboni;Luigi Riccoboni;Q3266530;male;118788671;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
1016;1005;VIII;(d) 4. rang, in octav.;100;;136;108;Reflexions sur l'Anti Machiavel, par M. l'AbbÈ de S. Pierre, Roterd. 1741.;;147551609;;1;147551609;M: Sf 728, M: Sf 729;M: Sf 729;Staatswissenschaften - Staatslehre und Politik;Exemplar vorhanden;Provenienz Philippine Charlotte: Signatur Praun'scher Katalog, Besonderheit: blauer Papiereinband;Mit Textvarianten zu Ex. Sf 728.;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Aaus;fre;Reflexions Sur L'Antimachiavel De 1740;1741;Rotterdam;Rotterdam;4050739-7;Rotterdam Zuid;tgn/7268776;Charles IrÈnÈe;Castel de Saint-Pierre;Charles-IrÈnÈe Castel de Saint-Pierre;Q1064976;male;119510952;Unbekannt;;;;;;;;;Jan Daniel;Beman;1037505328;Unbekannt;;;;;Friedrich;Preuﬂen, Kˆnig;118535749;;;;;;;
1017;1006;VIII;(d) 4. rang, in octav.;101;;136;108;Anti S. Pierre, ou refutation de l'enigme politique de l'AbbÈ de S. Pierre. 1742.;;148209289;;1;148209289;M: Rq 415;M: Rq 415;Recht - Vˆlkerrecht;Exemplar vorhanden;Provenienz Philippine Charlotte: ausradierte Signatur Praun'scher Katalog;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Aav;fre;Anti-St. Pierre, Ou Refutation De L'Enigme Politique De L'AbbÈ de St. Pierre.;1742;[Erscheinungsort nicht ermittelbar];ohne Ort;;;;Jean Henri Samuel;Formey;Johann Heinrich Samuel Formey;Q88385;male;119353210;M‰nnlich;;;;;;;;;;;;;;;;;Charles IrÈnÈe;Castel de Saint-Pierre;119510952;;;;;;;
